Model,Target,Param,Train RMSE,Test RMSE,Time Taken,Percentage Error
GBR,EC (eV),"n_estimators=120, learning_rate=0.2, max_depth=3",0.0007924036294592821,0.530349558125112,0.06971859931945801,66829.21869716955
GBR,EO (eV),"n_estimators=120, learning_rate=0.2, max_depth=4",8.721665779839545e-05,1.2413675620956652,0.07010674476623535,1423214.7582485133
GBR,EC (eV),"n_estimators=120, learning_rate=0.2, max_depth=4",5.140110931160416e-05,0.5314105429693979,0.07042217254638672,1033750.3391976957
GBR,EO (eV),"n_estimators=120, learning_rate=0.5, max_depth=3",1.3648707821018995e-08,1.2393267596330728,0.06910133361816406,9080176396.448338
GBR,EC (eV),"n_estimators=120, learning_rate=0.5, max_depth=3",1.4678129797706542e-08,0.5275080034276964,0.07485270500183105,3593836517.455989
GBR,EO (eV),"n_estimators=120, learning_rate=0.5, max_depth=4",1.3922283753752815e-08,1.2311171335813023,0.06815266609191895,8842781410.249344
GBR,EC (eV),"n_estimators=120, learning_rate=0.5, max_depth=4",1.3905007518320413e-08,0.5487544286685192,0.07585954666137695,3946451765.959173
GBR,EO (eV),"n_estimators=130, learning_rate=0.1, max_depth=3",0.028076138347665335,1.2764962738553267,0.07981491088867188,4446.5521577381505
GBR,EC (eV),"n_estimators=130, learning_rate=0.1, max_depth=3",0.016294350352144365,0.530552353875986,0.08595895767211914,3156.050977240491
GBR,EO (eV),"n_estimators=130, learning_rate=0.1, max_depth=4",0.006838115057068246,1.2874861705123801,0.04993939399719238,18728.085806797953
GBR,EC (eV),"n_estimators=130, learning_rate=0.1, max_depth=4",0.004025371269583584,0.5310291185093335,0.04785037040710449,13092.053178346137
GBR,EO (eV),"n_estimators=130, learning_rate=0.2, max_depth=3",0.0008183685602346888,1.3050836507176324,0.05770373344421387,159373.8256248951
GBR,EC (eV),"n_estimators=130, learning_rate=0.2, max_depth=3",0.00047310702515130374,0.5303427705777696,0.07749772071838379,111997.84306376794
GBR,EO (eV),"n_estimators=130, learning_rate=0.2, max_depth=4",4.155286088268459e-05,1.2413684833918972,0.07891416549682617,2987344.082121396
GBR,EC (eV),"n_estimators=130, learning_rate=0.2, max_depth=4",2.4376018986399795e-05,0.5314070716072681,0.07191348075866699,2179940.440170965
GBR,EO (eV),"n_estimators=130, learning_rate=0.5, max_depth=3",1.3648707821018995e-08,1.2393267596330728,0.07089471817016602,9080176396.448338
GBR,EC (eV),"n_estimators=130, learning_rate=0.5, max_depth=3",1.4678129797706542e-08,0.5275080034276964,0.07350945472717285,3593836517.455989
GBR,EO (eV),"n_estimators=130, learning_rate=0.5, max_depth=4",1.3922283753752815e-08,1.2311171335813023,0.0759592056274414,8842781410.249344
GBR,EC (eV),"n_estimators=130, learning_rate=0.5, max_depth=4",1.3905007518320413e-08,0.5487544286685192,0.07829475402832031,3946451765.959173
GBR,EO (eV),"n_estimators=150, learning_rate=0.1, max_depth=3",0.017262307143789565,1.2784938307727394,0.11266303062438965,7306.274376439312
GBR,EC (eV),"n_estimators=150, learning_rate=0.1, max_depth=3",0.010002972792176053,0.531662912181958,0.05243253707885742,5215.049068191055
GBR,EO (eV),"n_estimators=150, learning_rate=0.1, max_depth=4",0.0033848108383401467,1.2879518404325017,0.0791785717010498,37950.92520514651
GBR,EC (eV),"n_estimators=150, learning_rate=0.1, max_depth=4",0.0019936031404974176,0.5310123692826068,0.09602117538452148,26535.811235234887
GBR,EO (eV),"n_estimators=150, learning_rate=0.2, max_depth=3",0.00029225006768796344,1.305316429894656,0.08681750297546387,446543.6706828576
GBR,EC (eV),"n_estimators=150, learning_rate=0.2, max_depth=3",0.00016871768765229094,0.5303460778885218,0.08507347106933594,314239.34714747174
GBR,EO (eV),"n_estimators=150, learning_rate=0.2, max_depth=4",9.30946396181859e-06,1.2413609477074072,0.08231735229492188,13334297.692484425
GBR,EC (eV),"n_estimators=150, learning_rate=0.2, max_depth=4",5.4892548666953154e-06,0.5314082530648357,0.06113028526306152,9680781.394103648
GBR,EO (eV),"n_estimators=150, learning_rate=0.5, max_depth=3",1.3648707821018995e-08,1.2393267596330728,0.055357933044433594,9080176396.448338
GBR,EC (eV),"n_estimators=150, learning_rate=0.5, max_depth=3",1.4678129797706542e-08,0.5275080034276964,0.07263898849487305,3593836517.455989
GBR,EO (eV),"n_estimators=150, learning_rate=0.5, max_depth=4",1.3922283753752815e-08,1.2311171335813023,0.08148026466369629,8842781410.249344
GBR,EC (eV),"n_estimators=150, learning_rate=0.5, max_depth=4",1.3905007518320413e-08,0.5487544286685192,0.09161829948425293,3946451765.959173
